2017-03-30 16:07:16,175 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:16,176 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:07:16,178 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Sale_GetBuyerList' object created...
2017-03-30 16:07:16,183 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:16,184 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:16,185 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-03-30 16:07:16,186 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerTypeID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:16,187 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:16,188 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:16,203 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:16,204 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:16,206 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:16,207 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:07:16,207 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:16,208 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:07:16,209 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Sale_GetBuyerList' object created...
2017-03-30 16:07:16,210 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:16,211 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:16,212 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-03-30 16:07:16,214 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerTypeID, Direction: In, DataType: Int, Value: 2, Size: -1
2017-03-30 16:07:16,214 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:16,215 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:16,219 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:16,219 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:39,506 | [58] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:07:39,507 | [58] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:39,507 | [58] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:07:39,509 | [58] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:39,510 | [58] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:07:39,511 | [58] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Sale_GetSalesList' object created...
2017-03-30 16:07:39,511 | [58] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:39,512 | [58] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:39,513 | [58] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 3
2017-03-30 16:07:39,513 | [58] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:39,514 | [58] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:39,515 | [58] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 5, Size: -1
2017-03-30 16:07:39,515 | [58] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:39,563 | [58] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:39,570 | [58] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:16:39,981 | [11] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:16:39,982 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:16:40,232 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:16:40,233 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:16:40,234 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:16:40,235 | [11] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Sale_GetDetails' object created...
2017-03-30 16:16:40,236 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:16:40,236 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Started...
